City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
352,marsa matruh,31.3525,27.2453,21.11,60,40,5.66,EG,1667886758
353,bathsheba,13.2167,-59.5167,28.34,78,40,7.72,BB,1667886758
354,atbasar,51.8,68.3333,-3.02,83,61,2.96,KZ,1667886758
355,korla,41.7597,86.1469,13.15,29,19,2.28,CN,1667886759
356,la reforma,25.0833,-108.05,19.39,77,8,1.99,MX,1667886759
357,karratha,-20.7377,116.8463,27.92,33,0,9.49,AU,1667886759
358,rawson,-43.3002,-65.1023,16.73,66,100,2.13,AR,1667886760
359,emporia,38.4039,-96.1817,13.11,38,100,5.14,US,1667886616
360,touros,-5.1989,-35.4608,24.35,79,100,3.21,BR,1667886738
361,sangar,63.9242,127.4739,-21.48,92,100,2.2,RU,1667886761
